exp_name,exp_time,train_time,train_time_epoch,val_time_epoch,acc,loss,last_test_time_consumption
188,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 16:24:20",1135.822,14.377,0.515,0.9088,0.7319,
189,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 16:59:33",1334.123,14.345,0.513,0.9158,0.7196,
190,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 17:28:07",1076.341,14.351,0.514,0.9127,0.7285,
191,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 17:50:14",830.918,14.326,0.513,0.9095,0.7472,
192,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 18:25:48",1346.229,14.322,0.512,0.9,0.8229,
193,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 12:51:27",844.345,14.072,0.508,0.9084,0.7582,
194,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 13:16:27",931.764,13.702,0.903,0.6776,1.9563,
195,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 13:53:23",1376.372,19.662,1.26,0.9617,0.6189,
196,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 14:24:48",1189.863,13.998,0.518,0.9113,0.7511,
197,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 14:53:44",1080.99,13.683,0.904,0.6807,1.9453,
198,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 15:34:51",1534.322,19.671,1.26,0.9596,0.6259,
199,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 16:10:20",1346.1,14.022,0.519,0.9124,0.7509,
200,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 16:36:03",959.061,13.701,0.903,0.6782,1.9471,
201,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 17:01:33",943.475,19.656,1.261,0.9614,0.626,
202,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 17:32:19",1164.336,14.028,0.518,0.9156,0.7451,
203,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 17:59:00",995.265,13.634,0.9,0.6898,1.9375,
204,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 18:26:03",1002.423,19.655,1.261,0.9601,0.6274,
205,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 18:58:12",1217.929,13.999,0.519,0.9195,0.7366,
206,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 19:22:22",899.604,13.63,0.903,0.6806,1.9528,
207,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 19:44:43",824.745,19.637,1.261,0.9592,0.6346,
208,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 20:11:47",1023.202,14.016,0.52,0.9115,0.7505,
209,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 20:42:07",1132.429,13.644,0.903,0.6835,1.9419,
210,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 21:18:32",1356.622,19.661,1.261,0.9609,0.6283,
211,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 21:40:07",813.054,14.018,0.521,0.9065,0.7636,
212,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 22:09:43",1104.523,13.636,0.903,0.6727,1.967,
213,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 22:40:24",1139.542,19.647,1.26,0.9608,0.6321,
214,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 23:00:32",757.63,14.03,0.521,0.9085,0.7698,
215,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 23:22:56",832.509,13.648,0.905,0.6791,1.9412,
216,exp(TestPLVPooling)_gdbls_on_svhn,"07/28/2022, 00:04:01",1532.855,19.652,1.263,0.9608,0.623,
217,exp(TestPLVPooling)_gdbls_on_cifar10,"07/28/2022, 00:27:26",883.246,14.02,0.521,0.9153,0.7408,
218,exp(TestPLVPooling)_gdbls_on_cifar100,"07/28/2022, 00:58:50",1173.055,13.64,0.904,0.6852,1.9272,
219,exp(TestPLVPooling)_gdbls_on_svhn,"07/28/2022, 01:40:00",1535.219,19.682,1.264,0.9639,0.6143,
220,exp(TestPLVPooling)_gdbls_on_cifar10,"07/28/2022, 02:13:19",1262.906,14.032,0.521,0.9146,0.7436,
221,exp(TestPLVPooling)_gdbls_on_cifar100,"07/28/2022, 02:37:11",888.742,13.673,0.906,0.68,1.96,
222,exp(TestPLVPooling)_gdbls_on_svhn,"07/28/2022, 03:02:41",943.48,19.656,1.262,0.9589,0.6367,
223,exp(Test_conv3block3_WithKernel5x5ForTheLast)_gdbls_on_cifar10,"07/28/2022, 13:16:52",1114.869,14.479,0.516,0.9204,0.7085,
224,exp(Test_conv3block3_WithKernel5x5ForTheLast)_gdbls_on_cifar100,"07/28/2022, 13:46:08",1096.612,13.881,0.913,0.6874,1.904,
225,exp(Test_conv3block3_WithKernel5x5ForTheLast)_gdbls_on_svhn,"07/28/2022, 14:23:23",1383.985,19.493,1.265,0.966,0.6079,
226,exp(Test_conv3block3_WithKernel5x5ForTheLast)_gdbls_on_cifar10,"07/28/2022, 14:52:38",1112.896,14.453,0.527,0.9239,0.7043,
227,exp(Test_conv3block3_WithKernel5x5ForTheLast)_gdbls_on_cifar100,"07/28/2022, 15:15:41",859.976,13.871,0.92,0.6825,1.9174,
228,exp(Test_conv3block3_WithKernel5x5ForTheLast)_gdbls_on_svhn,"07/28/2022, 15:52:24",1363.564,19.479,1.271,0.9651,0.6053,
229,exp(Test_conv3block3_WithKernel5x5ForTheLast)_gdbls_on_cifar10,"07/28/2022, 16:26:31",1299.923,14.444,0.527,0.924,0.7034,
230,exp(Test_conv3block3_WithKernel5x5ForTheLast)_gdbls_on_cifar100,"07/28/2022, 16:56:31",1123.596,13.872,0.92,0.6886,1.903,
231,exp(Test_conv3block3_WithKernel5x5ForTheLast)_gdbls_on_svhn,"07/28/2022, 17:20:17",875.747,19.461,1.258,0.9614,0.6225,
232,exp(Test_conv3block3_WithKernel3x3ForTheLast)_gdbls_on_cifar10,"07/28/2022, 20:14:00",889.594,14.121,0.502,0.9083,0.7401,
233,exp(Test_conv3block3_WithKernel3x3ForTheLast)_gdbls_on_cifar100,"07/28/2022, 20:40:36",990.164,13.564,0.896,0.6858,1.9238,
234,exp(Test_conv3block3_WithKernel3x3ForTheLast)_gdbls_on_svhn,"07/28/2022, 21:08:34",1031.01,19.093,1.24,0.9638,0.6082,
235,exp(Test_conv3block3_WithKernel3x3ForTheLast)_gdbls_on_cifar10,"07/28/2022, 21:35:22",1015.294,14.101,0.508,0.9192,0.7111,
236,exp(Test_conv3block3_WithKernel3x3ForTheLast)_gdbls_on_cifar100,"07/28/2022, 22:01:56",989.725,13.558,0.896,0.678,1.9158,
237,exp(Test_conv3block3_WithKernel3x3ForTheLast)_gdbls_on_svhn,"07/28/2022, 22:39:59",1408.95,19.04,1.252,0.9631,0.6095,
238,exp(Test_conv3block3_WithKernel3x3ForTheLast)_gdbls_on_cifar10,"07/28/2022, 23:10:54",1172.713,14.129,0.508,0.915,0.7188,
239,exp(Test_conv3block3_WithKernel3x3ForTheLast)_gdbls_on_cifar100,"07/28/2022, 23:39:22",1061.765,13.612,0.899,0.6809,1.9277,
240,exp(Test_conv3block3_WithKernel3x3ForTheLast)_gdbls_on_svhn,"07/29/2022, 00:28:49",1837.123,19.137,1.261,0.967,0.597,
241,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar10,"07/29/2022, 01:26:06",1076.876,11.705,0.494,0.9163,0.7397,
242,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar10,"07/29/2022, 01:40:55",586.712,10.667,0.376,0.9049,0.8167,
243,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar10,"07/29/2022, 02:10:08",1112.644,14.45,0.517,0.9165,0.7221,
244,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar100,"07/29/2022, 02:28:10",634.092,11.323,0.867,0.6611,2.0155,
245,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar100,"07/29/2022, 02:41:40",525.837,10.311,0.621,0.6681,2.0276,
246,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar100,"07/29/2022, 03:08:02",986.352,13.892,0.915,0.6864,1.8981,
247,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_svhn,"07/29/2022, 03:41:50",1184.263,15.79,1.187,0.9627,0.6269,
248,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_svhn,"07/29/2022, 03:56:01",545.778,14.363,0.833,0.9528,0.695,
249,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_svhn,"07/29/2022, 04:28:40",1210.153,19.519,1.274,0.9644,0.6056,
250,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar10,"07/29/2022, 04:49:37",751.691,11.745,0.497,0.8961,0.796,
251,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar10,"07/29/2022, 05:09:44",800.993,10.68,0.378,0.9108,0.8032,
252,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar10,"07/29/2022, 05:42:20",1242.741,14.45,0.52,0.921,0.7112,
253,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar100,"07/29/2022, 06:07:18",883.275,11.324,0.868,0.6566,2.0175,
254,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar100,"07/29/2022, 06:24:10",659.962,10.312,0.621,0.6685,2.02,
255,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar100,"07/29/2022, 06:48:41",916.319,13.884,0.914,0.6829,1.9057,
256,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_svhn,"07/29/2022, 07:14:58",916.561,15.803,1.193,0.96,0.6374,
257,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_svhn,"07/29/2022, 07:25:54",416.485,14.362,0.832,0.9495,0.7004,
258,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_svhn,"07/29/2022, 07:59:02",1228.703,19.503,1.272,0.9648,0.6048,
259,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar10,"07/29/2022, 08:19:55",748.739,11.699,0.495,0.906,0.7734,
260,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar10,"07/29/2022, 08:35:30",617.165,10.641,0.377,0.9017,0.8202,
261,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar10,"07/29/2022, 09:06:36",1184.363,14.443,0.52,0.9208,0.7068,
262,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar100,"07/29/2022, 09:31:33",881.706,11.304,0.868,0.6677,1.9828,
263,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar100,"07/29/2022, 09:46:35",586.095,10.282,0.63,0.6672,2.0079,
264,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar100,"07/29/2022, 10:19:11",1221.244,13.878,0.924,0.6879,1.8877,
265,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_svhn,"07/29/2022, 10:47:40",993.373,15.768,1.192,0.9591,0.6368,
266,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_svhn,"07/29/2022, 11:12:37",974.964,14.338,0.844,0.9541,0.6865,
267,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_svhn,"07/29/2022, 11:42:33",1107.378,19.428,1.268,0.9621,0.6157,
268,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar10,"07/29/2022, 12:09:14",959.565,11.702,0.504,0.9099,0.7591,
269,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar10,"07/29/2022, 12:26:24",680.69,10.636,0.385,0.9039,0.8231,
270,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar10,"07/29/2022, 12:51:54",967.407,14.439,0.529,0.9226,0.7072,
271,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar100,"07/29/2022, 13:12:23",721.387,11.272,0.875,0.6515,2.0382,
272,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar100,"07/29/2022, 13:34:38",873.822,10.28,0.63,0.6713,2.0033,
273,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar100,"07/29/2022, 14:04:19",1111.55,13.894,0.923,0.6834,1.9128,
274,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_svhn,"07/29/2022, 14:50:32",1624.007,15.767,1.206,0.9645,0.6211,
275,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_svhn,"07/29/2022, 15:05:45",587.137,14.32,0.833,0.9524,0.6927,
276,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_svhn,"07/29/2022, 15:45:34",1479.534,19.468,1.282,0.9647,0.6064,
277,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar10,"07/29/2022, 16:09:04",843.158,11.711,0.506,0.9081,0.7557,
278,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar10,"07/29/2022, 16:27:01",712.314,10.632,0.387,0.9156,0.7869,
279,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar10,"07/29/2022, 16:53:12",994.51,14.413,0.527,0.9211,0.7136,
280,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar100,"07/29/2022, 17:10:14",598.29,11.288,0.876,0.655,2.012,
281,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar100,"07/29/2022, 17:29:23",750.654,10.283,0.631,0.6573,2.0391,
282,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar100,"07/29/2022, 18:00:50",1177.819,13.857,0.921,0.6831,1.9052,
283,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_svhn,"07/29/2022, 18:36:50",1261.594,15.77,1.205,0.9618,0.6315,
284,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_svhn,"07/29/2022, 18:52:26",602.009,14.334,0.835,0.9549,0.6879,
285,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_svhn,"07/29/2022, 19:19:51",1013.364,19.488,1.271,0.9658,0.6073,
286,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar10,"07/29/2022, 19:40:09",726.171,11.712,0.506,0.909,0.7606,
287,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar10,"07/29/2022, 20:00:46",820.618,10.657,0.387,0.9118,0.7955,
288,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar10,"07/29/2022, 20:30:21",1125.974,14.436,0.528,0.9276,0.691,
289,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar100,"07/29/2022, 20:45:35",532.608,11.332,0.878,0.6566,2.002,
290,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar100,"07/29/2022, 21:05:31",782.101,10.291,0.63,0.6636,2.0226,
291,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar100,"07/29/2022, 21:27:06",803.846,13.859,0.922,0.6783,1.9142,
292,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_svhn,"07/29/2022, 22:03:36",1277.592,15.773,1.209,0.9596,0.6372,
293,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_svhn,"07/29/2022, 22:20:38",660.143,14.351,0.837,0.9557,0.682,
294,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_svhn,"07/29/2022, 22:50:10",1092.63,19.511,1.273,0.9621,0.6174,
295,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar10,"07/29/2022, 23:16:35",949.256,11.719,0.507,0.9061,0.762,
296,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar10,"07/29/2022, 23:33:47",681.976,10.656,0.387,0.907,0.8064,
297,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar10,"07/30/2022, 00:08:45",1332.642,14.485,0.531,0.9238,0.7024,
298,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar100,"07/30/2022, 00:26:08",609.933,11.295,0.876,0.6684,2.0018,
299,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar100,"07/30/2022, 00:47:06",823.054,10.288,0.631,0.6696,1.9971,
300,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar100,"07/30/2022, 01:10:34",875.328,13.894,0.924,0.6756,1.924,
301,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_svhn,"07/30/2022, 01:47:09",1280.92,15.814,1.212,0.9582,0.6416,
302,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_svhn,"07/30/2022, 02:09:58",889.903,14.353,0.843,0.9533,0.6918,
303,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_svhn,"07/30/2022, 02:39:29",1092.328,19.506,1.273,0.9626,0.6129,
304,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar10,"07/30/2022, 03:07:10",996.172,11.72,0.505,0.9149,0.7462,
305,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar10,"07/30/2022, 03:31:44",980.128,10.654,0.387,0.9151,0.7881,
306,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar10,"07/30/2022, 04:01:02",1115.285,14.484,0.531,0.9178,0.719,
307,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar100,"07/30/2022, 04:22:30",756.765,11.295,0.876,0.6685,1.9803,
308,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar100,"07/30/2022, 04:34:13",453.367,10.304,0.631,0.6575,2.0557,
309,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar100,"07/30/2022, 05:02:07",1043.5,13.913,0.926,0.678,1.93,
310,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_svhn,"07/30/2022, 05:39:00",1292.72,15.765,1.192,0.9621,0.631,
311,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_svhn,"07/30/2022, 06:02:55",934.457,14.376,0.845,0.9552,0.6774,
312,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_svhn,"07/30/2022, 06:39:15",1348.928,19.55,1.283,0.9638,0.6146,
313,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar10,"07/30/2022, 07:05:03",927.309,11.738,0.506,0.9105,0.7566,
314,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar10,"07/30/2022, 07:22:33",693.831,10.674,0.387,0.9098,0.7986,
315,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar10,"07/30/2022, 07:47:43",955.962,14.484,0.531,0.9151,0.7248,
316,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar100,"07/30/2022, 08:05:07",610.98,11.314,0.877,0.656,2.0194,
317,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar100,"07/30/2022, 08:26:37",844.308,10.296,0.631,0.6752,1.9842,
318,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar100,"07/30/2022, 08:50:24",887.885,13.873,0.924,0.6841,1.9045,
319,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_svhn,"07/30/2022, 09:12:42",773.786,15.792,1.191,0.9587,0.6399,
320,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_svhn,"07/30/2022, 09:30:49",703.426,14.356,0.836,0.9552,0.6865,
321,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_svhn,"07/30/2022, 10:00:51",1111.017,19.492,1.274,0.9644,0.6077,
322,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar10,"07/30/2022, 10:31:11",1092.236,11.744,0.508,0.9171,0.7372,
323,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar10,"07/30/2022, 10:41:01",383.427,10.651,0.386,0.8984,0.8266,
324,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar10,"07/30/2022, 11:05:00",909.536,14.437,0.529,0.9204,0.7204,
325,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_cifar100,"07/30/2022, 11:27:08",780.853,11.317,0.878,0.6723,1.9699,
326,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_cifar100,"07/30/2022, 11:44:14",669.102,10.294,0.632,0.6691,2.0137,
327,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_cifar100,"07/30/2022, 12:06:56",846.223,13.873,0.924,0.6852,1.8978,
328,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv2block3_on_svhn,"07/30/2022, 12:35:27",994.749,15.79,1.202,0.9605,0.633,
329,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block2_on_svhn,"07/30/2022, 12:51:03",602.51,14.345,0.836,0.9534,0.6849,
330,exp(StructureTestOnModel_gdbls_conv2block3)_gdbls_conv3block3_on_svhn,"07/30/2022, 13:30:23",1460.523,19.474,1.283,0.964,0.6069,
331,exp(WithoutEnhancementBlockOnModel_gdbls_conv3block3_noEB)_gdbls_conv3block3_noEB_on_cifar10,"07/30/2022, 22:41:14",480.804,8.904,0.244,0.9127,0.7304,
332,exp(WithoutEnhancementBlockOnModel_gdbls_conv3block3_noEB)_gdbls_conv3block3_noEB_on_cifar100,"07/30/2022, 22:59:10",733.269,8.729,0.37,0.6559,2.0561,
333,exp(WithoutEnhancementBlockOnModel_gdbls_conv3block3_noEB)_gdbls_conv3block3_noEB_on_svhn,"07/30/2022, 23:19:52",829.269,11.847,0.486,0.9657,0.603,
